date,project_id,client,region,fleet_size,deployment_status,planned_daily_spend_usd,actual_daily_spend_usd,hw_cost_actual_usd,hw_cost_planned_usd,labor_hours,shipping_delay_days,cumulative_planned_usd,cumulative_actual_usd,is_spike_day
2024-07-14,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Go-Live,3548.78,4284.32,2620.45,2129.27,71.7,0.0,629130.15,648684.61,False
2024-11-29,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Go-Live,5604.38,5134.66,3072.52,3362.63,208.2,0.0,1231884.35,1271194.91,False
2024-04-28,AMR-001,Ford Motor - Michigan Facility,North America,12,Site Installation,3982.83,5328.05,3121.98,2389.7,139.2,0.0,439734.99,453178.37,True
2024-09-16,AMR-005,Amazon - Dallas FC,North America,30,Go-Live,5916.25,6365.96,3525.26,3549.75,251.0,0.0,1049698.26,1077234.34,False
2024-10-25,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,UAT,5931.67,5987.5,3305.92,3559.0,263.9,0.0,1028720.38,1064185.63,False
2024-07-04,AMR-001,Ford Motor - Michigan Facility,North America,12,Go-Live,4060.1,4379.57,2713.83,2436.06,124.6,0.0,718398.54,742908.18,False
2024-06-03,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Hardware Procurement,5846.7,6345.7,4134.39,3508.02,243.6,0.0,195781.93,204959.38,False
2024-10-07,AMR-005,Amazon - Dallas FC,North America,30,Monitoring,6546.7,6353.95,4353.32,3928.02,250.0,1.0,1179147.71,1208152.73,False
2024-05-23,AMR-006,Unilever - Rotterdam DC,EMEA,10,Site Installation,3540.22,4067.25,2734.34,2124.13,91.6,0.0,348225.62,352478.36,False
2024-06-03,AMR-001,Ford Motor - Michigan Facility,North America,12,UAT,4384.24,4289.13,2401.56,2630.55,125.5,0.0,588506.96,609590.38,False
2024-05-21,AMR-001,Ford Motor - Michigan Facility,North America,12,Site Installation,4139.0,4807.88,3074.78,2483.4,103.8,0.0,534612.99,554304.97,False
2024-07-23,AMR-003,DHL - Singapore Hub,APAC,20,UAT,5094.49,4772.75,3123.23,3056.69,215.2,0.0,691188.81,710776.68,False
2024-08-06,AMR-005,Amazon - Dallas FC,North America,30,Site Installation,5988.11,6675.82,4543.66,3592.87,356.1,0.0,797204.81,818773.61,False
2024-07-10,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Staging & Config,5694.0,5969.92,3838.81,3416.4,221.7,0.0,409067.78,423793.67,False
2024-08-18,AMR-003,DHL - Singapore Hub,APAC,20,UAT,5120.6,5241.45,3647.63,3072.36,224.9,0.0,825093.8,851845.82,False
2024-04-30,AMR-005,Amazon - Dallas FC,North America,30,Hardware Procurement,6492.98,6479.91,3987.94,3895.79,332.2,1.0,189165.52,189930.07,False
2024-04-22,AMR-001,Ford Motor - Michigan Facility,North America,12,Site Installation,4295.45,3985.26,2478.62,2577.27,137.1,0.0,414930.99,425580.35,False
2024-07-21,AMR-003,DHL - Singapore Hub,APAC,20,UAT,4937.64,5481.63,3514.74,2962.58,186.3,0.0,681018.64,700734.08,False
2024-06-05,AMR-005,Amazon - Dallas FC,North America,30,Staging & Config,6092.77,6279.62,4255.37,3655.66,355.9,0.0,415263.37,422325.59,False
2024-04-04,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Staging & Config,3669.94,3845.01,2383.88,2201.97,77.3,0.0,244218.55,249253.63,False
2024-04-27,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Site Installation,4982.78,4452.81,3070.6,2989.67,167.4,0.0,460215.56,471088.56,False
2024-05-09,AMR-001,Ford Motor - Michigan Facility,North America,12,Site Installation,4611.68,4308.75,2374.13,2767.01,118.1,0.0,485371.49,501282.13,False
2024-04-16,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Staging & Config,3854.86,4286.08,2482.53,2312.92,94.5,0.0,290120.5,296453.4,False
2024-06-02,AMR-003,DHL - Singapore Hub,APAC,20,Site Installation,4821.89,4699.18,2971.89,2893.13,222.6,0.0,431695.6,441374.38,False
2024-02-11,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Hardware Procurement,4512.8,5871.48,3299.23,2707.68,157.8,10.0,105543.28,111335.97,True
2024-12-09,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Monitoring,6100.71,4960.97,2797.46,3660.43,230.9,0.0,1290565.98,1330563.97,False
2024-04-27,AMR-006,Unilever - Rotterdam DC,EMEA,10,Staging & Config,3549.49,3526.18,2419.97,2129.69,115.3,0.0,255694.16,260056.68,False
2024-06-09,AMR-003,DHL - Singapore Hub,APAC,20,Site Installation,4903.32,6621.12,3731.78,2941.99,205.7,0.0,467039.22,479108.06,False
2024-05-06,AMR-005,Amazon - Dallas FC,North America,30,Hardware Procurement,6259.02,6283.98,3859.01,3755.41,306.4,0.0,226456.18,228261.68,False
2024-04-16,AMR-003,DHL - Singapore Hub,APAC,20,Hardware Procurement,4985.91,5149.54,3164.02,2991.54,164.4,1.0,194853.88,197567.71,False
2024-03-22,AMR-001,Ford Motor - Michigan Facility,North America,12,Staging & Config,4372.82,4719.11,3221.29,2623.69,127.2,0.0,283818.06,289577.93,False
2024-05-05,AMR-003,DHL - Singapore Hub,APAC,20,Staging & Config,4824.43,5589.1,3293.0,2894.66,201.5,0.0,288097.04,296663.43,False
2024-07-06,AMR-006,Unilever - Rotterdam DC,EMEA,10,UAT,3442.95,3959.54,2491.19,2065.77,84.3,0.0,502428.23,514148.45,False
2024-08-16,AMR-003,DHL - Singapore Hub,APAC,20,UAT,5119.4,5510.26,3354.27,3071.64,179.2,0.0,814446.18,841020.85,False
2024-02-28,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Hardware Procurement,4853.42,5096.88,2949.95,2912.05,146.0,0.0,184211.12,195499.6,False
2024-07-05,AMR-006,Unilever - Rotterdam DC,EMEA,10,UAT,3220.22,3298.98,2030.03,1932.13,105.3,0.0,498985.28,510188.91,False
2024-05-23,AMR-004,Bosch - Stuttgart Plant,EMEA,15,UAT,4536.62,4599.07,3066.97,2721.97,153.4,0.0,580564.16,596317.24,False
2024-08-09,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Monitoring,3939.76,3561.25,2303.53,2363.86,72.4,0.0,728919.82,750404.06,False
2024-05-06,AMR-004,Bosch - Stuttgart Plant,EMEA,15,UAT,4803.99,4785.31,3018.49,2882.4,121.4,1.0,502265.73,515869.84,False
2024-07-16,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Staging & Config,5935.42,5573.83,3516.26,3561.25,286.6,0.0,444682.84,459506.06,False
2024-07-23,AMR-006,Unilever - Rotterdam DC,EMEA,10,Go-Live,3805.8,3128.43,2043.38,2283.48,116.0,0.0,561694.02,574527.82,False
2024-11-18,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Go-Live,5654.42,5417.92,3320.67,3392.65,278.0,0.0,1169271.0,1206432.44,False
2024-10-09,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,UAT,5932.04,5977.61,3798.12,3559.22,247.5,0.0,934223.15,967370.55,False
2024-06-30,AMR-003,DHL - Singapore Hub,APAC,20,Site Installation,5190.92,6265.93,3551.3,3114.55,167.2,0.0,573874.45,589677.52,False
2024-07-09,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Go-Live,3700.04,4153.7,2906.07,2220.03,75.8,0.0,610541.97,628247.51,False
2024-03-24,AMR-001,Ford Motor - Michigan Facility,North America,12,Staging & Config,4562.89,3871.51,2140.78,2737.73,127.8,0.0,292344.92,297707.7,False
2024-04-26,AMR-001,Ford Motor - Michigan Facility,North America,12,Site Installation,4115.36,4330.62,2905.86,2469.21,139.7,0.0,431649.81,443555.07,False
2024-04-08,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Site Installation,4689.01,3971.94,2505.94,2813.41,156.4,0.0,371669.44,381496.01,False
2024-04-30,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Site Installation,4551.8,5398.32,3063.59,2731.08,163.0,0.0,474237.07,487483.48,False
2024-09-05,AMR-003,DHL - Singapore Hub,APAC,20,Go-Live,5158.57,4836.04,2709.86,3095.14,239.3,0.0,917610.55,949291.54,False
2024-07-30,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Staging & Config,5562.38,5880.61,3704.05,3337.43,232.2,0.0,524833.64,542595.81,False
2024-05-22,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Site Installation,3833.93,3828.51,2175.51,2300.36,74.8,0.0,426960.13,441705.34,False
2024-05-04,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Site Installation,3689.72,4077.16,2382.78,2213.83,91.0,0.0,358476.44,367793.7,False
2024-07-24,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Staging & Config,5160.41,5264.19,2989.98,3096.25,261.4,0.0,490802.09,507842.35,False
2024-02-04,AMR-004,Bosch - Stuttgart Plant,EMEA,15,Planning,4625.49,4795.24,3041.0,2775.29,151.5,0.0,73997.65,75356.11,False
2024-07-24,AMR-003,DHL - Singapore Hub,APAC,20,UAT,5332.21,6089.11,4117.84,3199.32,218.7,0.0,696521.02,716865.79,False
2024-03-14,AMR-003,DHL - Singapore Hub,APAC,20,Planning,5032.0,5127.56,3457.3,3019.2,164.5,0.0,25011.96,26595.11,False
2024-08-02,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Monitoring,3670.79,3656.59,2320.99,2202.47,81.7,0.0,701683.4,723471.44,False
2024-04-24,AMR-003,DHL - Singapore Hub,APAC,20,Hardware Procurement,4750.17,5244.09,3238.58,2850.1,237.3,0.0,234041.63,238228.82,False
2024-09-08,AMR-003,DHL - Singapore Hub,APAC,20,Go-Live,4980.33,5578.91,3555.97,2988.2,164.8,0.0,932691.24,965512.21,False
2024-03-08,AMR-006,Unilever - Rotterdam DC,EMEA,10,Hardware Procurement,3907.47,3296.75,2133.32,2344.48,103.9,0.0,80799.3,81271.11,False
2024-08-27,AMR-006,Unilever - Rotterdam DC,EMEA,10,Monitoring,3551.42,4322.05,2635.52,2130.85,102.9,0.0,685798.35,700860.48,True
2024-05-25,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Site Installation,3806.33,4001.56,2500.63,2283.8,86.3,0.0,438931.73,453811.24,False
2024-02-23,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Hardware Procurement,3887.04,3975.23,2285.73,2332.23,87.5,0.0,87303.1,90107.14,False
2024-09-18,AMR-007,Foxconn - Shenzhen Assembly,APAC,25,Site Installation,6188.69,5765.86,3357.09,3713.21,257.8,0.0,812970.33,842059.55,False
2024-09-08,AMR-005,Amazon - Dallas FC,North America,30,Go-Live,5963.51,6169.27,3486.28,3578.11,268.3,0.0,999031.02,1027985.09,False
2024-03-21,AMR-002,Coca-Cola - Atlanta Warehouse,North America,8,Staging & Config,4048.34,3435.15,1928.97,2429.0,88.4,0.0,190684.08,193791.55,False
2024-05-31,AMR-003,DHL - Singapore Hub,APAC,20,Site Installation,4443.87,5229.81,3256.87,2666.32,232.0,0.0,421875.18,431576.13,False
