date,project_id,client,region,fleet_size,deployment_status,planned_daily_spend_usd,actual_daily_spend_usd,hw_cost_actual_usd,hw_cost_planned_usd,labor_hours,shipping_delay_days,cumulative_planned_usd,cumulative_actual_usd,is_spike_day,month,week,day_of_week,is_weekend,daily_spend_variance_usd,project_start_date,project_end_date,total_planned_usd,days_elapsed,project_duration_days,pct_timeline_elapsed
2024-01-15,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4239.21,3915.78,2231.56,2543.52,121.0,2.0,4239.21,3915.78,False,2024-01,3,Monday,False,-323.43,2024-01-15,2024-07-30,826251.23,1,198,0.0051
2024-01-16,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4444.5,5047.93,3178.33,2666.7,102.0,0.0,8683.71,8963.71,True,2024-01,3,Tuesday,False,603.43,2024-01-15,2024-07-30,826251.23,2,198,0.0101
2024-01-17,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,3823.53,4386.7,2703.96,2294.12,116.5,0.0,12507.24,13350.41,False,2024-01,3,Wednesday,False,563.17,2024-01-15,2024-07-30,826251.23,3,198,0.0152
2024-01-18,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4194.92,4604.45,3117.83,2516.95,122.9,0.0,16702.16,17954.86,False,2024-01,3,Thursday,False,409.53,2024-01-15,2024-07-30,826251.23,4,198,0.0202
2024-01-19,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4452.68,4049.18,2755.37,2671.61,124.5,0.0,21154.84,22004.04,False,2024-01,3,Friday,False,-403.5,2024-01-15,2024-07-30,826251.23,5,198,0.0253
2024-01-20,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4244.17,3911.39,2314.22,2546.5,108.5,0.0,25399.01,25915.43,False,2024-01,3,Saturday,True,-332.78,2024-01-15,2024-07-30,826251.23,6,198,0.0303
2024-01-21,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4198.33,4179.02,2454.41,2519.0,138.2,0.0,29597.34,30094.45,False,2024-01,3,Sunday,True,-19.31,2024-01-15,2024-07-30,826251.23,7,198,0.0354
2024-01-22,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4235.1,4696.69,2749.69,2541.06,102.0,0.0,33832.44,34791.14,False,2024-01,4,Monday,False,461.59,2024-01-15,2024-07-30,826251.23,8,198,0.0404
2024-01-23,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4316.9,4490.94,2477.16,2590.14,110.1,0.0,38149.34,39282.08,False,2024-01,4,Tuesday,False,174.04,2024-01-15,2024-07-30,826251.23,9,198,0.0455
2024-01-24,AMR-001,Ford Motor - Michigan Facility,NORTH AMERICA,12,Planning,4049.1,4248.08,2671.645,2429.46,101.3,0.0,42198.44,43530.16,False,2024-01,4,Wednesday,False,198.98,2024-01-15,2024-07-30,826251.23,10,198,0.0505
